title,channelName,viewCount,likes,date,duration,type,url,commentsCount
Barbeque Nation - Bandra,Barbeque Nation,4035,14,2015-11-23T06:22:01.000Z,0:00:22,video,https://www.youtube.com/watch?v=m1yuTsfGhdU,1
Barbeque Nation Opening Soon @ Gajuwaka,Barbeque Nation,943,10,2019-06-26T04:29:02.000Z,0:00:28,video,https://www.youtube.com/watch?v=Xbbzr7L1o-I,5
Now in Vijayawada! #‎comefeastwithus,Barbeque Nation,1063,5,2015-07-09T10:54:37.000Z,0:00:17,video,https://www.youtube.com/watch?v=W79GmFBnn9s,0
Barbeque Nation - Mulund,Barbeque Nation,6051,12,2015-11-20T10:41:54.000Z,0:00:22,video,https://www.youtube.com/watch?v=xRSrgeBx34E,1
Barbeque Nations Spl 15 20151030184319 News9,Barbeque Nation,640,1,2015-11-16T10:42:23.000Z,0:15:12,video,https://www.youtube.com/watch?v=Z9sV6dXhEmE,0
Bappi Lahiri – Disco Barbeque,Barbeque Nation,392102,976,2015-12-16T15:45:52.000Z,0:03:31,video,https://www.youtube.com/watch?v=7zBxkqsZ6q0,41
"#Kolkata, here we meet again!",Barbeque Nation,345,0,2015-07-08T13:00:17.000Z,0:00:17,video,https://www.youtube.com/watch?v=wv2ouc46t2o,0
A very Happy Diwali from Barbeque Nation,Barbeque Nation,23185,10,2019-10-25T10:06:53.000Z,0:00:38,video,https://www.youtube.com/watch?v=duJL-WybgMY,0
Barbeque Nation Food Fest 20151029224630 Suvarna TV,Barbeque Nation,536,0,2015-11-14T11:25:17.000Z,0:01:58,video,https://www.youtube.com/watch?v=nWSWNNulnYo,0
Different festivals same destination @Barbequenation,Barbeque Nation,32164,8,2019-10-29T07:06:02.000Z,0:00:27,video,https://www.youtube.com/watch?v=8_EgRPhMVEU,1
Kurla Barbeque Nation,Barbeque Nation,15706,17,2015-04-15T07:01:56.000Z,0:00:17,video,https://www.youtube.com/watch?v=EMwEvoisCfw,0
Vizag - Celebrate with Barbeque Nation,Barbeque Nation,12352,8,2015-04-15T07:08:37.000Z,0:00:17,video,https://www.youtube.com/watch?v=LNwTNwM844k,0
Barbeque Nation Food Fest 20151029191115 Praja TV,Barbeque Nation,585,1,2015-11-14T11:22:05.000Z,0:02:37,video,https://www.youtube.com/watch?v=qq3TPjZ3WbQ,0
